student_id,disability_type,total_reward,overload_events,final_mastery,acceptance_rate,final_trust,rationale,flags,flagged
S0129,Dyslexia,0.8490028077006861,15,1.0,0.9,0.99,"Student S0129 (Dyslexia): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 90%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0133,ADHD,0.8918578709896938,20,1.0,0.8,0.99,"Student S0133 (ADHD): final mastery 1.00, 20 predicted overload events across the term. Consent acceptance rate was 80%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (20 > 16.0)'],True
S0136,Mixed,1.8739829315196117,11,1.0,0.82,0.99,"Student S0136 (Mixed): final mastery 1.00, 11 predicted overload events across the term. Consent acceptance rate was 82%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0141,Dyslexia,-9.011885411833845,21,1.0,0.62,0.99,"Student S0141 (Dyslexia): final mastery 1.00, 21 predicted overload events across the term. Consent acceptance rate was 62%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (21 > 16.0)'],True
S0143,Dyslexia,-0.4821221382650216,12,1.0,0.68,0.99,"Student S0143 (Dyslexia): final mastery 1.00, 12 predicted overload events across the term. Consent acceptance rate was 68%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0144,Dyslexia,8.188321417942564,8,1.0,0.96,0.99,"Student S0144 (Dyslexia): final mastery 1.00, 8 predicted overload events across the term. Consent acceptance rate was 96%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0153,Dyslexia,7.0995700990683845,16,1.0,0.8,0.99,"Student S0153 (Dyslexia): final mastery 1.00, 16 predicted overload events across the term. Consent acceptance rate was 80%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0155,ID,7.285287112470822,8,1.0,0.88,0.99,"Student S0155 (ID): final mastery 1.00, 8 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0156,ADHD,5.273686295050441,15,1.0,0.94,0.99,"Student S0156 (ADHD): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 94%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0166,Physical_Sensory,-1.126697163529314,23,1.0,0.92,0.99,"Student S0166 (Physical_Sensory): final mastery 1.00, 23 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (23 > 16.0)'],True
S0178,Mixed,-9.04486304578614,18,1.0,0.66,0.99,"Student S0178 (Mixed): final mastery 1.00, 18 predicted overload events across the term. Consent acceptance rate was 66%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (18 > 16.0)'],True
S0195,ASD,8.902472731211,18,1.0,0.94,0.99,"Student S0195 (ASD): final mastery 1.00, 18 predicted overload events across the term. Consent acceptance rate was 94%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (18 > 16.0)'],True
S0196,Dyslexia,4.77384774793236,17,1.0,0.92,0.99,"Student S0196 (Dyslexia): final mastery 1.00, 17 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (17 > 16.0)'],True
S0203,ASD,4.3641272174460255,15,1.0,0.84,0.99,"Student S0203 (ASD): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 84%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0209,Dyslexia,7.830103994101061,21,1.0,0.94,0.99,"Student S0209 (Dyslexia): final mastery 1.00, 21 predicted overload events across the term. Consent acceptance rate was 94%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (21 > 16.0)'],True
S0215,ID,8.98875814915568,5,1.0,0.96,0.99,"Student S0215 (ID): final mastery 1.00, 5 predicted overload events across the term. Consent acceptance rate was 96%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0216,ASD,6.091736016346342,17,1.0,0.92,0.99,"Student S0216 (ASD): final mastery 1.00, 17 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (17 > 16.0)'],True
S0226,ASD,-4.223773637544141,12,1.0,0.66,0.99,"Student S0226 (ASD): final mastery 1.00, 12 predicted overload events across the term. Consent acceptance rate was 66%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0235,Physical_Sensory,6.301743794360307,24,1.0,0.88,0.99,"Student S0235 (Physical_Sensory): final mastery 1.00, 24 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (24 > 16.0)'],True
S0237,Physical_Sensory,-10.672083174916764,26,0.9907039988838978,0.64,0.99,"Student S0237 (Physical_Sensory): final mastery 0.99, 26 predicted overload events across the term. Consent acceptance rate was 64%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (26 > 16.0)'],True
S0239,ASD,6.65659413734218,20,1.0,0.92,0.99,"Student S0239 (ASD): final mastery 1.00, 20 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (20 > 16.0)'],True
S0241,Physical_Sensory,2.5418327318194858,12,1.0,0.88,0.99,"Student S0241 (Physical_Sensory): final mastery 1.00, 12 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0243,Dyslexia,-4.706957534844815,15,1.0,0.76,0.99,"Student S0243 (Dyslexia): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 76%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0252,Dyslexia,5.863637444716042,8,1.0,0.9,0.99,"Student S0252 (Dyslexia): final mastery 1.00, 8 predicted overload events across the term. Consent acceptance rate was 90%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0254,ADHD,5.1739116872696025,15,1.0,0.92,0.99,"Student S0254 (ADHD): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0255,ID,2.925752958302588,17,1.0,0.94,0.99,"Student S0255 (ID): final mastery 1.00, 17 predicted overload events across the term. Consent acceptance rate was 94%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (17 > 16.0)'],True
S0264,Mixed,9.103870010822313,7,1.0,0.9,0.99,"Student S0264 (Mixed): final mastery 1.00, 7 predicted overload events across the term. Consent acceptance rate was 90%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0265,ASD,8.346052675791078,16,1.0,0.94,0.99,"Student S0265 (ASD): final mastery 1.00, 16 predicted overload events across the term. Consent acceptance rate was 94%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0266,ADHD,4.586588956669997,10,1.0,0.82,0.99,"Student S0266 (ADHD): final mastery 1.00, 10 predicted overload events across the term. Consent acceptance rate was 82%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0276,ADHD,-1.8594199636977016,17,1.0,0.56,0.99,"Student S0276 (ADHD): final mastery 1.00, 17 predicted overload events across the term. Consent acceptance rate was 56%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (17 > 16.0)'],True
S0279,Mixed,-6.7403009187081855,24,1.0,0.78,0.99,"Student S0279 (Mixed): final mastery 1.00, 24 predicted overload events across the term. Consent acceptance rate was 78%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (24 > 16.0)'],True
S0280,ASD,4.559643141119857,14,1.0,0.9,0.99,"Student S0280 (ASD): final mastery 1.00, 14 predicted overload events across the term. Consent acceptance rate was 90%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0281,ASD,6.467652804952368,13,1.0,0.84,0.99,"Student S0281 (ASD): final mastery 1.00, 13 predicted overload events across the term. Consent acceptance rate was 84%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0282,ADHD,7.927339229032369,15,1.0,0.78,0.99,"Student S0282 (ADHD): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 78%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0288,Dyslexia,-1.254897109092772,16,1.0,0.88,0.99,"Student S0288 (Dyslexia): final mastery 1.00, 16 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0297,Physical_Sensory,3.81009870323281,23,1.0,0.8,0.99,"Student S0297 (Physical_Sensory): final mastery 1.00, 23 predicted overload events across the term. Consent acceptance rate was 80%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (23 > 16.0)'],True
S0308,ADHD,-69.66910505209188,40,0.1850939459052175,0.26,0.2729829190070957,"Student S0308 (ADHD): final mastery 0.19, 40 predicted overload events across the term. Consent acceptance rate was 26%, and trust in the system's suggestions is currently 0.27 (0-1 scale).","['low trust (0.27 < 0.5)', 'elevated overload events (40 > 16.0)', 'low acceptance rate (26%)']",True
S0313,ADHD,7.320613355307903,18,1.0,0.96,0.99,"Student S0313 (ADHD): final mastery 1.00, 18 predicted overload events across the term. Consent acceptance rate was 96%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (18 > 16.0)'],True
S0316,ADHD,6.370849607418381,15,1.0,0.92,0.99,"Student S0316 (ADHD): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0317,ID,6.149673717622851,12,1.0,0.82,0.99,"Student S0317 (ID): final mastery 1.00, 12 predicted overload events across the term. Consent acceptance rate was 82%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0319,Mixed,1.6181463763993107,19,1.0,0.74,0.99,"Student S0319 (Mixed): final mastery 1.00, 19 predicted overload events across the term. Consent acceptance rate was 74%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (19 > 16.0)'],True
S0334,ASD,5.167932000360912,21,1.0,0.96,0.99,"Student S0334 (ASD): final mastery 1.00, 21 predicted overload events across the term. Consent acceptance rate was 96%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (21 > 16.0)'],True
S0335,Dyslexia,1.312988799478363,10,1.0,0.74,0.99,"Student S0335 (Dyslexia): final mastery 1.00, 10 predicted overload events across the term. Consent acceptance rate was 74%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0336,ASD,0.3792196964404667,19,1.0,0.8,0.99,"Student S0336 (ASD): final mastery 1.00, 19 predicted overload events across the term. Consent acceptance rate was 80%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (19 > 16.0)'],True
S0352,Dyslexia,6.287768345702512,22,1.0,0.92,0.99,"Student S0352 (Dyslexia): final mastery 1.00, 22 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (22 > 16.0)'],True
S0356,Physical_Sensory,8.491057832593432,16,1.0,0.96,0.99,"Student S0356 (Physical_Sensory): final mastery 1.00, 16 predicted overload events across the term. Consent acceptance rate was 96%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0357,Physical_Sensory,8.754629831332107,13,1.0,0.94,0.99,"Student S0357 (Physical_Sensory): final mastery 1.00, 13 predicted overload events across the term. Consent acceptance rate was 94%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0368,ADHD,6.589449280071341,11,1.0,0.9,0.99,"Student S0368 (ADHD): final mastery 1.00, 11 predicted overload events across the term. Consent acceptance rate was 90%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0369,Mixed,5.598499567323445,7,1.0,0.86,0.99,"Student S0369 (Mixed): final mastery 1.00, 7 predicted overload events across the term. Consent acceptance rate was 86%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0373,ADHD,1.2738952898642373,15,1.0,0.92,0.99,"Student S0373 (ADHD): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0386,ID,5.878142865368014,12,1.0,0.88,0.99,"Student S0386 (ID): final mastery 1.00, 12 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0388,ASD,5.42452556663996,16,1.0,0.78,0.99,"Student S0388 (ASD): final mastery 1.00, 16 predicted overload events across the term. Consent acceptance rate was 78%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0393,ID,0.5775005250843726,19,1.0,0.86,0.99,"Student S0393 (ID): final mastery 1.00, 19 predicted overload events across the term. Consent acceptance rate was 86%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (19 > 16.0)'],True
S0396,Physical_Sensory,4.590541682564239,12,1.0,0.92,0.99,"Student S0396 (Physical_Sensory): final mastery 1.00, 12 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
